SolidityFile,GasCost,ACI,PM,EF,AZ,LI,IFF,UMA,SB,RLV,GV,NLF,NU,IP,NM,MA,EC,BV,NE,DF
0x378965e2a5d31f6f5fd029c1fc456caacb6d04b2_ApplicationQualityCoin.sol,0.01848456,0,4,0,0,0,0.2,0,0,0.4,6,0,0.25,6,0.5,0,0.25,2,2,0.138888889
0xaedd7102018fe2f9b6dc56d7fda966326ece7f9e_Aragon.sol,0.01846698,0,3,0,0,0,0.4,0,2,0,9,0,0.357142857,6,0.333333333,0,0,0.5,2,0.131578947
0x27a54aefbddfa43cbf5f22139e9f969ce42fe22f_Arena.sol,0.01886096,4,2,4,1,0,0.4,0,0,0.2,7,1,0,0,0.142857143,0.333333333,0.333333333,0.071428571,0,0.111111111
0xd2ee1be927946d863e453cc571e7a73b62faeb55_ARGENTINA_WINS.sol,0.01842304,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x00000000e86b5156e8fd624255bf7a6d722a8f1f_ARIYAX.sol,0.02423434,0,2,5,0,0,0.3,0,0.5,0.8,6,0,0,6,0.5,0,0.214285714,3,2,0.212765957
0xa918185d042016e2d87c5cb0c7d216b062f79559_ArtemineICOFactory.sol,0.00137306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
0xf5bf697dd45e1af3dc8909987de56c7111ea34b3_Arton.sol,0.02089634,0,0,0,0,0,0,0,0,0.75,7,0,0,6,0.428571429,0,0.3,0,2,0.102564103
0x4c94c6809d3748a83b95cc42f4963c9b58315480_ArtStamp.sol,0.04782588,0,15,0,0,0,0,0,2,0.4,5,0,0,0,0.6,0,0.363636364,0.695652174,0,0.11627907
0x8a61bfc048c219ba865d0b44b0ede19b8dd76d08_ARWCrowdsale.sol,0.01821902,0,10,0,0,0,0,0,0,0.1,6,0,0.3,3,0,0,0,1,1,0.161290323
0xeb0c680b2e42685bc836922d416dfd836704ab09_ARWToken.sol,0.02314244,0,6,0,0,0,0.142857143,0,0,0.571428571,6,0,0.214285714,5,0.5,0,0.357142857,4,2,0.12962963
0x3a5de2ba9b13f07d7624b9d24d7f42cd8fa97c06_ASCCrowdsale.sol,0.01689828,0,9,0,0,0,0,0,0,0,6,0,0.454545455,3,0,0,0,0.5,1,0.142857143
0x93afbb655003feee6f1efd855491dc14d6b3b361_ASCToken.sol,0.02312452,0,4,0,0,0,0.2,0,0,0.4,6,0,0.272727273,3,0.5,0,0.333333333,2,1,0.135135135
0x180d14c826e4b74cf1a5c786189fe9888ebad1cc_AsinerumShareToken.sol,0.02269686,0,7,0,0,0,0.125,0,1,0.375,9,0,0.1875,3,0.333333333,0,0,1.5,1,0.16
0x86022d91ae13509bd49e58af5d9794f39a1be7de_ASIToken.sol,0.0288283,0,5,0,0,0,0.444444444,0,0,1,7,0,0.037037037,7,0.571428571,0,0,5,3,0.169811321
0x79dd435e15243e6269b65d57304583692407c65a_ASSC.sol,0.0202704,0,0,0,0,0,0,0,3,0.857142857,10,0,0.047619048,6,0.3,0,0.857142857,7,2,0.518518519
0x63c94b6221b4021b564f4563ec72688655b2604a_astorgame.sol,0.02084156,0,6,0,0,0,0.142857143,0,1,0.428571429,6,0,0.214285714,3,0.5,0,0.333333333,1,1,0.142857143
0x22e087293e2ccd21f1667ee487f65800fcc02708_AT.sol,0.02027824,0,6,0,0,0,0,0,0,0.833333333,7,0,0.076923077,6,0.428571429,0,0.4,3,2,0.117647059
0x379cA5D5F053F92a60388F4Ca748060c6F6664B2_ATCToken.sol,0.02603922,0,0,0,0,0,0,0,0,0.923076923,8,0,0.055555556,6,0.375,0,1,0,2,0.25
0x1cf6949F4B661018B3195f3FF98effe12f587263_AtlantToken.sol,0.02801752,0,5,6,0,0,0,0,0,0.545454545,12,0,0.055555556,11,0.25,0,0,2.5,4,0.115789474
0xc1e0d06cd322889f4cc38cde5b4686cceff6ced3_AtomicSwapRegistry.sol,0.02314516,0,3,0,0,0,0,0,0.571428571,0,3,0,0,3,0.333333333,0,0,0,1,0.055555556
0x423b7aee75b4cbe6e25b52447e1b16ea17b7c118_AtomicX.sol,0.0185851,0,3,0,0,0,0.4,0,2,0,9,0,0.357142857,6,0.333333333,0,0,0.5,2,0.128205128
0x3280660b3bafdad41a774938ab5a34ae463edbfe_Auction.sol,0.00936388,1,5,0,2,0,0,0,0,0,13,1,0,6,0.076923077,0.5,0.066666667,2,2,0.064935065
